SYMBOL,PRICEPER,AMOUNT,TOTAL,DIVIDEND
NVDA,187.05,203,37971.15,0.02
COST,956.75,39,37313.25,0.55
MSFT,456.66,81,36989.46,0.79
SITM,353.52,96,33937.92,0.0
AMZN,238.18,132,31439.76,0.0
GOOGL,332.78,94,31281.32,0.25
STRL,336.31,72,24214.32,0.0
KO,70.48,324,22835.52,2.86
LIN,440.04,51,22442.04,1.36
JNJ,219.57,102,22396.14,2.38
AAPL,258.21,86,22206.06,0.4
PG,144.63,153,22128.39,2.89
HALO,71.82,301,21617.82,0.0
CROX,83.01,260,21582.6,0.0
WMT,119.2,178,21217.6,0.78
TGTX,30.71,685,21036.35,0.0
CVX,166.16,125,20770.0,4.09
V,327.8,62,20323.6,0.81
JPM,309.34,65,20107.1,1.95
ASML,1331.6,6,7989.6,0.58
