SYMBOL,Current_Price,Market_Cap,PE_Ratio,Dividend_Yield,Beta,52W_High,52W_Low,Profit_Margin
MSFT,459.81,3417844219904,32.70341,0.79,1.073,555.45,344.79,0.35707
AAPL,258.73,3823085813760,34.68231,0.4,1.093,288.62,169.21,0.26915002
NVDA,188.355,4585635708928,46.504936,0.02,2.314,212.19,86.62,0.53007
GOOGL,332.24,4024131125248,32.765285,0.25,1.086,340.49,140.53,0.32233003
AMZN,238.98,2554747682816,33.75424,0.0,1.376,258.6,161.38,0.11063
JNJ,218.525,526491189248,21.093147,2.38,0.333,218.86,141.5,0.27259
KO,70.965,305409720320,23.498343,2.86,0.387,74.38,61.32,0.2734
PG,145.15,339721453568,21.189781,2.89,0.388,179.99,137.62,0.19739
JPM,310.74,845915750400,15.529235,1.95,1.066,337.25,202.16,0.3391
CVX,166.85,336173137920,23.466948,4.09,0.687,169.37,132.04,0.06767
STRL,339.7,10435371008,33.36935,0.0,1.492,419.14,96.34,0.14139
SNEX,104.74,5472025088,17.782682,0.0,0.463,106.98,65.0,0.00234
AWI,198.145,8571422208,28.428265,0.65,1.318,206.08,122.37,0.19084999
WTS,297.5,9922493440,30.670103,0.72,1.234,297.5,177.59,0.13795
AMBA,65.99,2840901632,0.0,0.0,1.953,96.69,38.86,-0.21309
CROX,83.36,4552903168,28.944443,0.0,1.535,122.84,73.21,0.04482
HALO,71.17,8369378304,15.014769,0.0,0.942,79.5,47.5,0.47912997
BLBD,49.355,1565291776,12.720361,0.0,1.42,61.95,30.04,0.086289994
PL,28.28,8870438912,0.0,0.0,1.943,28.325,2.79,-0.45868
TGTX,31.675,5028705792,11.435018,0.0,1.864,46.48,25.28,0.84128
SITM,362.03,9449210880,0.0,0.0,2.488,387.52,105.4,-0.25182
KRYS,283.405,8218042368,42.4259,0.0,0.46,295.98,122.8,0.53304
BITF,2.955,1766863744,0.0,0.0,4.579,6.6,0.673,-0.46382
DTST,4.47,33517664,24.833332,0.0,1.119,5.44,2.93,0.64071
CGTX,1.4,123583960,0.0,0.0,1.26,3.83,0.222,0.0
